Bonus Load Served via Microgrid,Feeder Load Served,Microgrid Load Served,Total Load Served,simulation_time_steps,type
0.7324133477256377,0.0,100.0,5.202851783335356,0.0,Disabled
0.7346044614346641,0.0,100.0,5.218218067280235,7.5,Disabled
3.415447784714513,0.0,100.00000000000003,7.790812396579977,15.0,Disabled
3.425782132207434,0.0,100.00000000000003,7.813440896844118,22.5,Disabled
3.430927614946854,0.0,100.0,7.824705315584208,30.0,Disabled
3.441175501083034,0.0,100.00000000000003,7.847135219713901,37.5,Disabled
3.4513663477266707,0.0,100.00000000000003,7.86943417535107,45.0,Disabled
3.461500629776833,0.0,100.0,7.891603325897748,52.5,Disabled
3.466546706045786,0.0,100.00000000000003,7.902639577940638,60.0,Disabled
3.430927614946854,0.0,100.0,7.824705315584208,67.5,Disabled
3.389355989323918,0.0,100.00000000000003,7.733652870497079,75.0,Disabled
3.3522009612071377,0.0,100.00000000000004,7.652188000977097,82.5,Disabled
3.314294949328208,0.0,100.00000000000003,7.568992865539986,90.0,Disabled
3.275614952719661,0.0,100.00000000000003,7.484011747747851,97.5,Disabled
3.2304307376043506,0.0,100.00000000000003,7.384628862375601,105.0,Disabled
3.1900102713377447,0.0,100.0,7.295621601773204,112.5,Disabled
3.1427697722175427,0.0,100.0,7.191473787366953,120.0,Disabled
3.124759176160249,0.0,100.0,7.151732245987073,127.5,Disabled
3.1004886637513884,0.0,100.00000000000003,7.098147333705336,135.0,Disabled
3.082090544935304,0.0,99.99999999999997,7.057504284803377,142.5,Disabled
3.063522506353826,0.0,100.00000000000003,7.016465459682843,150.0,Disabled
6.975395679979308,0.0,99.99999999999997,10.746304515200025,157.5,Disabled
6.917173153471502,0.0,100.00000000000003,10.660060806826088,165.0,Disabled
6.8730283920768525,0.0,99.99999999999997,10.594631052018066,172.5,Disabled
6.813520528849727,0.0,100.0,10.506377220139374,180.0,Disabled
6.798526357344739,0.0,100.0,10.484130252347043,187.5,Disabled
6.7834848596359105,0.0,100.0,10.46180914677224,195.0,Disabled
5.1195429744880645,0.0,100.0,9.3924104449228,0.0,Enabled
5.135373055262798,0.0,100.0,9.420213001502086,7.5,Enabled
7.829652792670886,0.0,100.00000000000003,12.005050060501024,15.0,Enabled
7.853599322046718,0.0,100.00000000000003,12.040088961733268,22.5,Enabled
7.865459643005887,0.0,100.0,12.057471421527335,30.0,Enabled
21.38524064838071,0.0,100.00000000000003,24.972416287588892,37.5,Enabled
21.387960414806706,0.0,100.00000000000003,24.985249261028507,45.0,Enabled
21.390665085089278,0.0,100.0,24.99800753207818,52.5,Enabled
21.392011798399686,0.0,100.00000000000003,25.004358857747622,60.0,Enabled
35.341586610252456,0.0,100.0,38.28346735834217,67.5,Enabled
35.17206955074363,0.0,100.00000000000003,38.08719116024763,75.0,Enabled
43.75611793233627,0.0,100.00000000000004,46.25848183883592,82.5,Enabled
43.50168733516428,0.0,100.00000000000003,45.98792098302959,90.0,Enabled
43.24206164129926,0.0,100.00000000000003,45.71155189201951,97.5,Enabled
34.52401836319667,0.0,100.00000000000003,37.33482141013003,105.0,Enabled
34.359195398426415,0.0,100.0,37.14295389139258,112.5,Enabled
42.350385705710735,0.0,100.0,44.76018231373061,120.0,Enabled
42.22949599763706,0.0,100.0,44.630937912717116,127.5,Enabled
42.066588831734755,0.0,100.00000000000003,44.45667315974717,135.0,Enabled
41.94309801523395,0.0,99.99999999999997,44.324496944927404,142.5,Enabled
41.81846667285781,0.0,100.00000000000003,44.19103361696288,150.0,Enabled
41.69267893094762,0.0,99.99999999999997,44.05626428328031,157.5,Enabled
41.52313510706803,0.0,100.00000000000003,43.8745069232197,165.0,Enabled
41.394585693292726,0.0,99.99999999999997,43.73661466733761,172.5,Enabled
41.221298972712646,0.0,100.0,43.55062100124944,180.0,Enabled
41.17763598992335,0.0,100.0,43.50373584044733,187.5,Enabled
41.133835193369315,0.0,100.0,43.45669443534771,195.0,Enabled
